Question,Answer
What is the assay (of Na) specification for Sodium Starch Glycolate Type A according to USP32-NF27?,2.8-4.2% 
What is the assay (of Na) specification for Sodium Starch Glycolate Type B according to PhEur 6.0?,2.0-3.4% 
What is the assay (of Na) specification for Sodium Starch Glycolate Type B according to USP32-NF27?,2.0-3.4% 
What is the assay (of Na) specification for Sodium Starch Glycolate Type C according to PhEur 6.0?,2.8-5.0% 
What is the water content limit for Sodium Stearyl Fumarate according to PhEur 6.0?,<5.0% 
What is the water content limit for Sodium Stearyl Fumarate according to USP32-NF27?,<5.0% 
What is the lead limit for Sodium Stearyl Fumarate according to USP32-NF27?,≤0.001% 
What is the heavy metals limit for Sodium Stearyl Fumarate according to USP32-NF27?,≤0.002% 
What is the related substances limit for Sodium Stearyl Fumarate according to PhEur 6.0?,<5.0% 
What is the sodium stearyl maleate limit for Sodium Stearyl Fumarate according to USP32-NF27?,≤0.25% 
What is the stearyl alcohol limit for Sodium Stearyl Fumarate according to USP32-NF27?,≤0.5% 
What is the saponification value (anhydrous basis) for Sodium Stearyl Fumarate according to USP32-NF27?,142.2-146.0 
What is the assay (anhydrous basis) specification for Sodium Stearyl Fumarate according to PhEur 6.0?,99.0-101.5% 
What is the assay (anhydrous basis) specification for Sodium Stearyl Fumarate according to USP32-NF27?,99.0-101.5% 
What is the solubility of Sodium Stearyl Fumarate in Acetone at 20°C?,Practically insoluble 
What is the solubility of Sodium Stearyl Fumarate in Chloroform at 20°C?,Practically insoluble 
What is the solubility of Sodium Stearyl Fumarate in Ethanol at 20°C?,Practically insoluble 
What is the solubility of Sodium Stearyl Fumarate in Methanol at 20°C?,Slightly soluble 
What is the solubility of Sodium Stearyl Fumarate in Water at 25°C?,"1 in 20,000 "
What is the solubility of Sodium Stearyl Fumarate in Water at 80°C?,1 in 10 
What is the solubility of Sodium Stearyl Fumarate in Water at 90°C?,1 in 5 
What is the heavy metals limit for Sodium Sulfite according to JP XV?,≤20 ppm 
What is the heavy metals limit for Sodium Sulfite according to PhEur 6.0?,≤10 ppm 
What is the heavy metals limit for Sodium Sulfite according to USP32-NF27?,≤10 ug/g 
What is the arsenic limit for Sodium Sulfite according to JP XV?,<4 ppm 
What is the iron limit for Sodium Sulfite according to PhEur 6.0?,≤10 ppm 
What is the iron limit for Sodium Sulfite according to USP32-NF27?,≤10 ug/g 
What is the selenium limit for Sodium Sulfite according to PhEur 6.0?,≤10 ppm 
What is the selenium limit for Sodium Sulfite according to USP32-NF27?,≤10 ug/g 
What is the thiosulfates limit for Sodium Sulfite according to PhEur 6.0?,≤0.1% 
What is the thiosulfates limit for Sodium Sulfite according to USP32-NF27?,<0.1% 
What is the zinc limit for Sodium Sulfite according to PhEur 6.0?,≤25 ppm 
What is the zinc limit for Sodium Sulfite according to USP32-NF27?,≤25 ug/g 
What is the assay specification for Sodium Sulfite according to JP XV?,≥97% 
What is the assay specification for Sodium Sulfite according to PhEur 6.0?,95.0-100.5% 
What is the assay specification for Sodium Sulfite according to USP32-NF27?,95.0-100.5% 
What is the pH specification for Sodium Thiosulfate according to JP XV?,6.0-8.0 
What is the pH specification for Sodium Thiosulfate according to PhEur 6.0?,6.0-8.4 
What is the water content limit for Sodium Thiosulfate according to USP32-NF27?,32.0-37% 
What is the heavy metals limit for Sodium Thiosulfate according to JP XV?,<20 ppm 
What is the heavy metals limit for Sodium Thiosulfate according to PhEur 6.0?,<10 ppm 
What is the heavy metals limit for Sodium Thiosulfate according to USP32-NF27?,<0.002% 
What is the arsenic limit for Sodium Thiosulfate according to JP XV?,<5 ppm 
What is the sulfates and sulfites limit for Sodium Thiosulfate according to PhEur 6.0?,<0.2% 
What is the assay (dried basis) specification for Sodium Thiosulfate according to JP XV?,99.0-101.0% 
What is the assay (dried basis) specification for Sodium Thiosulfate according to PhEur 6.0?,99.0-101.0% 
What is the assay (dried basis) specification for Sodium Thiosulfate according to USP32-NF27?,99.0-100.5% 
What is the melting range specification for Sorbic Acid according to PhEur 6.0?,132-136°C 
What is the melting range specification for Sorbic Acid according to USP32-NF27?,132-135°C 
What is the water limit for Sorbic Acid according to PhEur 6.0?,≤1.0% 
What is the water limit for Sorbic Acid according to USP32-NF27?,≤0.5% 
What is the residue on ignition limit for Sorbic Acid according to USP32-NF27?,<0.2% 
What is the sulfated ash limit for Sorbic Acid according to PhEur 6.0?,≤0.2% 
What is the heavy metals limit for Sorbic Acid according to PhEur 6.0?,≤10 ppm 
What is the heavy metals limit for Sorbic Acid according to USP32-NF27?,<0.001% 
What is the aldehyde (as C2H4O) limit for Sorbic Acid according to PhEur 6.0?,<0.15% 
What is the assay (anhydrous basis) specification for Sorbic Acid according to PhEur 6.0?,99.0-101.0% 
What is the assay (anhydrous basis) specification for Sorbic Acid according to USP32-NF27?,99.0-101.0% 
What is the solubility of Sorbic Acid in Acetone at 20°C?,1 in 11 
What is the solubility of Sorbic Acid in Chloroform at 20°C?,1 in 15 
What is the solubility of Sorbic Acid in Ethanol at 20°C?,1 in 8 
What is the solubility of Sorbic Acid in Ethanol (95%) at 20°C?,1 in 10 
What is the solubility of Sorbic Acid in Ether at 20°C?,1 in 30 
What is the solubility of Sorbic Acid in Glycerin at 20°C?,1 in 320 
What is the solubility of Sorbic Acid in Methanol at 20°C?,1 in 8 
What is the solubility of Sorbic Acid in Propylene glycol at 20°C?,1 in 19 
What is the solubility of Sorbic Acid in Water at 30°C?,1 in 400 
What is the solubility of Sorbic Acid in Water at 100°C?,1 in 26 
What is the MIC of Sorbic Acid against Aspergillus niger at pH 6?,200-500 ug/ml 
What is the MIC of Sorbic Acid against Candida albicans at pH 6?,25-50 ug/ml 
What is the MIC of Sorbic Acid against Clostridium sporogenes at pH 6?,100-500 ug/ml 
What is the MIC of Sorbic Acid against Escherichia coli at pH 6?,50-100 ug/ml 
What is the MIC of Sorbic Acid against Klebsiella pneumoniae at pH 6?,50-100 ug/ml 
What is the MIC of Sorbic Acid against Penicillium notatum at pH 6?,200-300 ug/ml 
What is the MIC of Sorbic Acid against Pseudomonas aeruginosa at pH 6?,100-300 ug/ml 
What is the MIC of Sorbic Acid against Pseudomonas cepacia at pH 6?,50-100 ug/ml 
What is the MIC of Sorbic Acid against Pseudomonas fluorescens at pH 6?,100-300 ug/ml 
What is the MIC of Sorbic Acid against Saccharomyces cerevisiae at pH 6?,200-500 ug/ml 
What is the MIC of Sorbic Acid against Staphylococcus aureus at pH 6?,50-100 ug/ml 
